kvartal;inflace;nezamestnanost
1Q 2007;1.6;7.6
2Q 2007;2.5;6.5
3Q 2007;2.5;6.3
4Q 2007;4.8;5.8
1Q 2008;7.4;5.9
2Q 2008;6.8;5.1
3Q 2008;6.7;5.3
4Q 2008;4.7;5.5
